"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",850546329.6,12887065.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",4045622.3,386356929.65,1618248.92,53806776.59,2831935.61,0,2022811.15,404562.23,1618248.92,2831935.61,0,404562.23,809124.46,2022811.15,0
"India",0,204785309.42,772141330.6,0,0,0,0,134285448.8,0,0,0,50357043.3,0,0,0
"Pakistan",0,187449390.6,0,0,0,0,0,0,0,0,0,157852118.4,0,0,0
"Philippines",0,102380328.05,0,4821679.5,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,75201096.88,0,4618286.4,0,0,0,0,0,12315430.4,0,0,0,0,0
"Germany",0,53843195,0,3076754,0,0,0,0,0,10768639,0,0,0,74611284.5,0
"Canada",792694.36,39914492.48,419661.72,932581.6,559548.96,18651.632,233145.4,93258.16,279774.48,13522433.2,0,652807.12,46629.08,512919.88,279774.48
"France",0,27778705.5,0,9971843,0,0,0,0,0,69090626.5,0,0,0,0,0
"Australia",0,34342326.2,0,708089.2,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,17913097.2,0,5795413.8,0,0,0,0,0,7902837,0,0,0,0,0
"Bangladesh",0,36493363.8,0,0,0,0,0,200308019.08,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,58451837.5,0,0,155314882.5,0,0,0,0,5010157.5,0,0,0,0,0
"Thailand",0,16697234.08,0,0,0,1841606.7,0,0,0,0,0,0,0,0,0
"Netherlands",0,15536313,0,863128.5,0,0,0,0,0,3625139.7,0,0,0,0,0
"Nepal",0,16889474.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,23363726.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,11092933,0,299809,0,0,0,0,0,899427,0,0,0,0,0
"Turkey",0,16357571.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0,33901976.5,0,63929441.4,0,0,0,0,0,0,0,0,0,0,0
"Sri Langka",0,9308270.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,9299888.4,0,41764953.36,0,0,0,0,0,4649944.2,0,0,0,0,0
"Brazil",0,11464669.5,0,6878801.7,0,0,0,0,229293390,0,0,0,0,0,0
"Sweden",0,10377104,0,723984,0,0,0,0,0,1327304,0,0,0,0,0
"Kenya",0,20461653.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,22406631.6,0,0,0,0,0,0,0,23585928,0,0,0,0,0
"Malaysia",10107510.66,27039750.74,0,0,0,17839324.37,0,0,0,0,0,0,0,0,0
"Russia",0,7133276.7,0,0,0,0,111149420.58,0,0,0,0,0,0,0,0
"Belgium",0,7558464,0,629872,0,0,0,0,0,9070156.8,0,0,0,0,0
"Israel",0,11695133,0,0,3439745,0,0,0,0,0,0,0,0,0,0
"Austria",0,6354788.7,0,348207.6,0,0,0,0,0,957570.9,0,0,0,7712798.34,0
"Romania",0,4745219.6,0,765358,0,0,0,0,0,1377644.4,0,0,0,0,0
"Myanmar",0,2793478.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,11447042.4,0,0,0,0,0,0,0,12718936,0,0,0,0,0
"Zimbabwe",0,13822107.52,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,4757943,0,0,0,0,0,0,0,653051,0,0,0,0,0
"Sierra Leone",0,11961391.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,21566505.09,0,153807633.2,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,5536379,0,257506,0,0,0,0,0,515012,0,0,0,0,0
"Morocco",0,6539370.6,0,4670979,34565244.6,0,0,0,0,14480034.9,0,0,0,0,0
"Norway",0,6437601,0,143057.8,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,5860418.64,0,238228.4,0,0,0,0,0,714685.2,0,0,0,0,0
"Singapore",2251291,5345208.06,0,0,0,707548.6,0,0,0,0,0,0,0,0,0
"Tanzania",0,168172754.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,5734522.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,4157909,0,178196.1,0,0,0,0,0,593987,0,0,0,0,0
"Portugal",0,2263774.5,0,838435,0,0,0,0,8300506.5,1928400.5,0,0,0,0,0
"Papua New Guinea",0,7652711.22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",3972542.4,3815295.93,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,9577801.26,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,53335336.32,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,3714258.6,0,56799585.36,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,42299155.08,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,37040621.28,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,1966221.65,0,20552190.51,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,23585045.04,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,25242477.12,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,0,0,10126573.8,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,13368829.92,0,0,0,0,0,0,0,0,0,0,0
