"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","75039.984","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","17995.016","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","2924.68","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1313.208","0","0","0","0","0","0","0","0","0","0"
"5","Syrian Arab Republic","Australia","0","0","0","0","12522.672","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","0","0","0","25092.264","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","39351.712","0","0","0","0","0","0","0","0","0","0"
"8","Syrian Arab Republic","United Kingdom","0","0","0","0","9536.168","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","0","0","0","82813.432","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","-655.592","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","60012.888","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","210087.152","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","11235.04","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","210181.544","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","4020.584","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","15277.52","0","0","0","0","0","0","0","0","0","0"
"17","India","United Arab Emirates","0","175571.3712","661990.416","0","0","0","0","115128.768","0","0","0","43173.288","0","0","0"
"18","India","Qatar","0","12619.9484","47583.412","0","0","0","0","8275.376","0","0","0","3103.266","0","0","0"
"19","India","Oman","0","71569.8848","269853.664","0","0","0","0","46931.072","0","0","0","17599.152","0","0","0"
"20","India","Switzerland","0","1146.434","4322.62","0","0","0","0","751.76","0","0","0","281.91","0","0","0"
"21","India","Afghanistan","0","-2315.5356","-8730.708","0","0","0","0","-1518.384","0","0","0","-569.394","0","0","0"
"22","India","Australia","0","20304.7772","76558.996","0","0","0","0","13314.608","0","0","0","4992.978","0","0","0"
"23","India","Canada","0","67022.286","252706.98","0","0","0","0","43949.04","0","0","0","16480.89","0","0","0"
"24","India","Germany","0","8112.1948","30586.964","0","0","0","0","5319.472","0","0","0","1994.802","0","0","0"
"25","India","United Kingdom","0","101690.0012","383421.316","0","0","0","0","66681.968","0","0","0","25005.738","0","0","0"
"26","India","United States","0","226542.776","854177.68","0","0","0","0","148552.64","0","0","0","55707.24","0","0","0"
