"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","105018.828","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","24767.504","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","4062.904","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1779.096","0","0","0","0","0","0","0","0","831.534","0"
"5","Syrian Arab Republic","Australia","0","8111.391","0","0","17354.604","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","16340.172","0","0","34960.368","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","54508.528","0","0","0","0","0","0","0","0","25476.812","0"
"8","Syrian Arab Republic","United Kingdom","0","6088.714","0","0","13027.016","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","51295.904","0","0","109749.376","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","-2901.68","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","83811.54","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","285762.488","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","15722.8","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","292406.084","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","3643.844","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","20002.916","0","0","0","0","9349.189","0","0","0","0","0"
"17","India","United Arab Emirates","0","245712.9654","926458.722","0","866037.501","0","0","161123.256","0","0","0","60421.221","0","0","0"
"18","India","Qatar","0","17648.7152","66544.336","0","62204.488","0","0","11572.928","0","0","0","4339.848","0","0","0"
"19","India","Oman","0","99420.4352","374863.936","0","350416.288","0","0","65193.728","0","0","0","24447.648","0","0","0"
"20","India","Switzerland","0","1603.5314","6046.102","0","0","0","0","1051.496","0","0","0","394.311","0","5651.791","0"
"21","India","Afghanistan","0","-4255.2624","-16044.432","0","-14998.056","0","0","-2790.336","0","0","0","-1046.376","0","0","0"
"22","India","Australia","0","125371.344","104476.12","0","0","0","0","18169.76","0","0","0","6813.66","0","0","0"
"23","India","Canada","0","421594.416","351328.68","0","0","0","0","61100.64","0","0","0","22912.74","0","0","0"
"24","India","Germany","0","10976.401","41386.43","0","0","0","0","7197.64","0","0","0","2699.115","0","38687.315","0"
"25","India","United Kingdom","0","586204.3488","488503.624","0","0","0","0","84957.152","0","0","0","31858.932","0","0","0"
"26","India","United States","0","1435554.3288","1196295.274","0","0","0","0","208051.352","0","0","0","78019.257","0","0","0"
"27","India","Iraq","0","-233.081","-878.83","0","-821.515","0","0","-152.84","0","0","0","-57.315","0","0","0"
"28","India","Jordan","0","919.392","3466.56","0","3240.48","0","0","602.88","0","0","0","226.08","0","0","0"
"29","India","Kuwait","0","37734.9904","142279.472","0","133000.376","0","0","24744.256","0","0","0","9279.096","0","0","0"
"30","India","Lebanon","0","11308.9364","42640.252","0","39859.366","0","0","7415.69600000001","0","0","0","2780.886","0","0","0"
"31","India","Malaysia","0","8094.8464","30521.552","0","0","28531.016","0","5308.096","0","0","0","1990.536","0","0","0"
