"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","55054.088","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","13480.024","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","2165.864","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1002.616","0","0","0","0","0","0","0","0","468.614","0"
"5","Syrian Arab Republic","Australia","0","4347.386","0","0","9301.384","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","8653.062","0","0","18513.528","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","29247.168","0","0","0","0","0","0","0","0","13669.872","0"
"8","Syrian Arab Republic","United Kingdom","0","3369.394","0","0","7208.936","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","30313.194","0","0","64856.136","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","841.800000000001","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","44147.12","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","159636.928","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","8243.2","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","155365.184","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","4271.744","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","12127.256","0","0","0","0","5668.174","0","0","0","0","0"
"17","India","United Arab Emirates","0","128810.3084","485678.212","0","454003.546","0","0","84465.776","0","0","0","31674.666","0","0","0"
"18","India","Qatar","0","9267.4372","34942.796","0","32663.918","0","0","6077.008","0","0","0","2278.878","0","0","0"
