Country Origin Name	Country Dest Name	1960 [1960]	1970 [1970]	1980 [1980]	1990 [1990]	2000 [2000]	Include
Philippines	Switzerland	601	495	417	1175	5211	TRUE
Philippines	Australia	411	1135	14880	71010	102420	TRUE
Philippines	Canada	2423	31892	62629	94814	233010	TRUE
Philippines	Germany	753	986	1517	15153	60903	TRUE
Philippines	United Kingdom	628	143	12179	22325	16	TRUE
Philippines	United States	111801	246767	590421	1059379	1505820	TRUE
Philippines	Jordan	8	15	50	1408	3794	TRUE
Philippines	Kuwait	224	390	388	27552	26017	TRUE
Philippines	Lebanon	5	14	30	2038	12789	TRUE
Philippines	Malaysia	418	14889	48372	168737	175740	TRUE
Philippines	Russian Federation	0	0	0	0	6580	TRUE
Philippines	Saudi Arabia	4569	25733	131223	341884	369850	TRUE
Philippines	France	4963	496	308	2849	8373	TRUE
Philippines	Japan	455	7521	16641	44533	121274	TRUE
Philippines	Singapore	202	8319	4882	747	18793	TRUE
Sudan	United Arab Emirates	41	1225	13377	24821	42646	TRUE
Sudan	Qatar	46	72	940	1202	10376	TRUE
Sudan	Oman	704	1012	2354	6827	10052	TRUE
Sudan	Australia	169	461	1348	1231	4862	TRUE
Sudan	Canada	177	1003	1867	559	7278	TRUE
Sudan	United Kingdom	1187	137	144	61	124	TRUE
Sudan	United States	302	692	3430	6309	18652	TRUE
Sudan	Iraq	7	882	1543	2704	775	TRUE
Sudan	Jordan	45	171	626	1415	2491	TRUE
Sudan	Kuwait	23	1110	2857	3414	3224	TRUE
Sudan	Lebanon	48	13	64	720	6944	TRUE
Sudan	Saudi Arabia	2457	13838	70566	183849	198887	TRUE
Spain	Switzerland	24340	122841	126727	126965	88369	TRUE
Spain	Australia	3698	12628	14612	14100	12541	TRUE
Spain	Canada	6556	13163	20171	14715	10480	TRUE
Spain	Germany	52278	244214	176968	131604	133635	TRUE
Spain	United Kingdom	24611	31623	41002	39279	60888	TRUE
Spain	United States	47232	68175	97039	110958	119977	TRUE
Spain	Turkey	271	173	78	24	1205	TRUE
Spain	France	89841	736748	489332	429029	151566	TRUE
Spain	Japan	2	38	84	968	1523	TRUE
Libya	Qatar	4	1011	97	128	1000	TRUE
Libya	Australia	75	204	597	1235	1436	TRUE
Libya	Canada	282	1586	2951	559	2502	TRUE
Libya	Germany	36	40	36	1001	831	TRUE
Libya	United Kingdom	28	102	6146	6973	136	TRUE
Libya	United States	595	1334	11113	8210	35552	TRUE
Libya	Sudan	22615	21576	27677	15689	18928	TRUE
Libya	Turkey	211	384	459	830	3065	TRUE
"Iran, Islamic Rep."	United Arab Emirates	74	2210	24124	44762	76907	TRUE
"Iran, Islamic Rep."	Qatar	646	3271	6628	2984	3401	TRUE
"Iran, Islamic Rep."	Switzerland	1049	1256	3202	1131	4226	TRUE
"Iran, Islamic Rep."	Australia	108	180	3538	12461	18514	TRUE
"Iran, Islamic Rep."	Canada	759	9990	19618	16084	72987	TRUE
"Iran, Islamic Rep."	Germany	7246	13586	35952	66008	108486	TRUE
"Iran, Islamic Rep."	United Kingdom	4640	577	28735	33236	72672	TRUE
"Iran, Islamic Rep."	United States	7294	5761	134447	229109	294355	TRUE
"Iran, Islamic Rep."	Iraq	31419	21455	15104	13305	1923	TRUE
"Iran, Islamic Rep."	Kuwait	19453	46502	75133	12408	11717	TRUE
"Iran, Islamic Rep."	Lebanon	675	612	448	1787	2276	TRUE
"Iran, Islamic Rep."	Russian Federation	0	0	0	0	11686	TRUE
"Iran, Islamic Rep."	Saudi Arabia	35	195	995	2592	2804	TRUE
"Iran, Islamic Rep."	Turkey	5077	6286	6315	10341	13096	TRUE
"Iran, Islamic Rep."	France	14380	1438	12867	18844	24260	TRUE
"Iran, Islamic Rep."	Japan	5	84	186	644	5591	TRUE
Morocco	United Arab Emirates	3	80	876	1626	2794	TRUE
Morocco	Qatar	37	7656	11220	1086	7876	TRUE
Morocco	Switzerland	8176	2255	11409	8403	5950	TRUE
Morocco	Australia	111	303	885	958	1173	TRUE
Morocco	Canada	584	3302	6145	15288	25307	TRUE
Morocco	Germany	9431	11846	54042	50126	84619	TRUE
Morocco	United Kingdom	4317	15743	5958	10364	20878	TRUE
Morocco	United States	1257	1943	16363	24311	40177	TRUE
Morocco	Lebanon	39	1433	759	650	5270	TRUE
Morocco	Saudi Arabia	188	1060	5404	14078	15230	TRUE
Morocco	Sudan	7917	7553	9689	5486	6619	TRUE
Morocco	Turkey	2399	4364	5211	9424	524	TRUE
Morocco	France	155574	294994	540819	654248	262462	TRUE
Mali	Germany	444	498	439	418	10493	TRUE
Mali	United Kingdom	108	395	795	59	4126	TRUE
Mali	United States	24	55	379	412	1459	TRUE
Mali	Sudan	759	724	928	1306	1576	TRUE
Mali	France	945	2265	23162	32647	1594	TRUE
Mexico	Switzerland	238	3	1159	416	1402	TRUE
Mexico	Australia	15	5	101	751	1141	TRUE
Mexico	Canada	6068	64961	126413	15966	42939	TRUE
Mexico	Germany	392	242	205	2400	1778	TRUE
Mexico	United States	610787	936424	2408502	4662233	9367910	TRUE
Mexico	Malaysia	3	124	371	1193	4064	TRUE
Mexico	Russian Federation	0	0	0	0	25104	TRUE
Mexico	France	2325	232	2921	4403	3923	TRUE
Mexico	Japan	2	31	69	722	1572	TRUE
Mexico	Singapore	108	69	229	600	2183	TRUE
Nigeria	Switzerland	191	52	260	194	1389	TRUE
Nigeria	Australia	89	243	710	927	1735	TRUE
Nigeria	Canada	1240	6964	12950	1909	10348	TRUE
Nigeria	Germany	358	1825	3865	2911	15492	TRUE
Nigeria	United Kingdom	15725	29796	32060	51154	106221	TRUE
Nigeria	United States	3141	5885	31976	69384	141571	TRUE
Nigeria	Saudi Arabia	137	771	3931	10243	11081	TRUE
Nigeria	Sudan	10660	10171	13047	18281	22055	TRUE
Nigeria	France	3892	9329	2152	1919	6567	TRUE
Nigeria	Japan	1	22	49	215	1404	TRUE
"Egypt, Arab Rep."	United Arab Emirates	129	3850	42028	77983	133986	TRUE
"Egypt, Arab Rep."	Qatar	115	2405	8462	21596	56093	TRUE
"Egypt, Arab Rep."	Oman	2697	3880	9023	26169	38528	TRUE
"Egypt, Arab Rep."	Switzerland	343	94	470	349	1710	TRUE
"Egypt, Arab Rep."	Australia	15552	25414	29551	32444	34132	TRUE
"Egypt, Arab Rep."	Canada	1627	9164	17045	26011	35874	TRUE
"Egypt, Arab Rep."	Germany	2111	5224	9577	7609	14208	TRUE
"Egypt, Arab Rep."	United Kingdom	23283	2545	24031	25289	26975	TRUE
"Egypt, Arab Rep."	United States	8884	30520	52431	79861	118619	TRUE
"Egypt, Arab Rep."	Iraq	139	2930	5043	8787	2510	TRUE
"Egypt, Arab Rep."	Jordan	157	6406	25456	85785	102174	TRUE
"Egypt, Arab Rep."	Kuwait	1743	37212	111358	120896	114162	TRUE
"Egypt, Arab Rep."	Lebanon	121	450	572	12934	37538	TRUE
"Egypt, Arab Rep."	Saudi Arabia	12110	68199	347779	906089	980205	TRUE
"Egypt, Arab Rep."	Sudan	2235	2132	2735	1558	1880	TRUE
"Egypt, Arab Rep."	Turkey	1350	1530	1454	2291	779	TRUE
"Egypt, Arab Rep."	France	3000	7189	18606	20919	5060	TRUE
"Egypt, Arab Rep."	Japan	1	20	45	383	1091	TRUE
