Turkmenistan,6031.20,6767.42,7371.18,7887.62,8191.24,8351.77
Uzbekistan,33235.83,36712.27,39246.47,40950.37,41498.00,41220.57
Southern Asia,1935615.91,2134449.02,2283936.42,2381796.56,2426989.26,2421904.15
Afghanistan,38054.94,46699.55,54914.12,61928.12,67307.30,70828.56
Bangladesh,169775.31,185584.81,196294.31,201926.82,202740.91,199365.09
Bhutan,835.25,913.70,965.24,994.20,998.99,978.66
India,1383197.75,1512985.21,1605355.57,1658978.16,1678568.11,1665179.39
"Iran, Islamic Rep.",83587.13,88863.31,91899.46,93553.45,91802.46,87177.10
Maldives,458.91,511.77,546.96,576.44,586.62,575.58
Nepal,30260.24,33167.61,35068.44,36106.58,36321.45,35590.99
Pakistan,208362.33,244248.37,277494.59,306940.44,328858.58,343515.60
Sri Langka,21084.04,21474.70,21397.72,20792.35,19804.83,18693.18
South-Eastern Asia,669016.30,727991.02,770769.94,797648.62,809854.05,810210.28
Brunei Darussalam,444.52,489.67,520.20,536.72,539.58,530.85
Cambodia,16715.51,18797.88,20592.42,22019.03,22942.21,23400.91
Indonesia,272222.99,295595.23,312134.19,321550.69,324706.16,323652.79
Lao People's Democratic Republic,7164.82,8048.70,8727.91,9162.89,9339.86,9273.38
Malaysia,32869.32,36814.97,39668.26,41729.22,43194.49,43697.59
Myanmar,54808.28,58915.87,61489.09,62358.93,62077.31,60928.11
Philippines,109703.40,125372.28,139447.69,151293.44,160722.65,167443.45
Singapore,5935.05,6342.47,6563.06,6574.76,6432.26,6214.81
Thailand,69410.87,69626.21,68338.47,65372.35,61386.89,57437.94
Timor-Leste,1381.40,1704.11,2059.55,2420.76,2784.67,3134.19
Viet Nam,98360.15,106283.64,111229.11,114629.85,115727.99,114496.28
Western Asia,281382.28,323520.77,362199.79,396559.67,424496.70,445907.95
Armenia,2938.68,2907.46,2818.40,2700.18,2539.60,2357.86
Azerbaijan,10099.74,10680.20,10988.92,11039.20,10857.44,10556.31
Bahrain,1697.77,2013.14,2205.23,2327.11,2404.63,2440.31
Cyprus,1207.34,1282.20,1341.47,1382.84,1399.10,1395.35
Georgia,3898.53,3748.35,3576.93,3393.67,3190.55,2997.65
Iraq,41502.89,53297.67,66751.98,81490.36,96862.79,112532.71
Israel,8713.56,9983.65,11281.55,12577.30,13758.98,14803.04
Jordan,10208.66,11122.06,12679.82,14187.73,15363.31,16253.95
Kuwait,4302.88,4873.67,5323.82,5643.53,5827.73,5966.81
Lebanon,6019.80,5368.60,5392.42,5411.83,5368.00,5200.41
Oman,5149.70,5897.47,6343.52,6756.57,7036.55,7107.28
Qatar,2791.81,3231.91,3536.62,3773.29,3946.93,4047.70
Saudi Arabia,34709.64,39480.35,42777.61,45056.35,46184.56,46160.35
Palestine,5322.63,6739.07,8208.07,9704.21,11140.80,12437.52
Syrian Arab Republic,18924.44,26608.49,30798.94,34021.05,36393.43,38018.38
