"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",900541435.2,13644567.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",3895916.6,372060035.3,1558366.64,51815690.78,2727141.62,0,1947958.3,389591.66,1558366.64,2727141.62,0,389591.66,779183.32,1947958.3,0
"India",0,202395335.52,763129953.6,0,0,0,0,132718252.8,0,0,0,49769344.8,0,0,0
"Pakistan",0,174956050.8,0,0,0,0,0,0,0,0,0,147331411.2,0,0,0
"Philippines",0,96373921.28,0,4538803.2,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,73647373.78,0,4522868.4,0,0,0,0,0,12060982.4,0,0,0,0,0
"Germany",0,55466943,0,3169539.6,0,0,0,0,0,11093388.6,0,0,0,76861335.3,0
"Canada",764126.2,38476001.6,404537.4,898972,539383.2,17979.44,224743,89897.2,269691.6,13035094,0,629280.4,44948.6,494434.6,269691.6
"France",0,27537510,0,9885260,0,0,0,0,0,68490730,0,0,0,0,0
"Australia",0,32191215.4,0,663736.4,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,18731684.6,0,6060250.9,0,0,0,0,0,8263978.5,0,0,0,0,0
"Bangladesh",0,36346827.6,0,0,0,0,0,199503698.16,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,53701721.5,0,0,142693145.7,0,0,0,0,4603004.7,0,0,0,0,0
"Thailand",0,17781279.2,0,0,0,1961170.5,0,0,0,0,0,0,0,0,0
"Netherlands",0,15765822,0,875879,0,0,0,0,0,3678691.8,0,0,0,0,0
"Nepal",0,16789559.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,22553919.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,11984314.8,0,323900.4,0,0,0,0,0,971701.2,0,0,0,0,0
"Turkey",0,16256569.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0,28521626,0,53783637.6,0,0,0,0,0,0,0,0,0,0,0
"Sri Langka",0,9772404.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,9766803.2,0,43861825.28,0,0,0,0,0,4883401.6,0,0,0,0,0
"Brazil",0,11634402,0,6980641.2,0,0,0,0,232688040,0,0,0,0,0,0
"Sweden",0,9998618,0,697578,0,0,0,0,0,1278893,0,0,0,0,0
"Kenya",0,17947822.32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,18930608.2,0,0,0,0,0,0,0,19926956,0,0,0,0,0
"Malaysia",9764637.48,26122491.72,0,0,0,17234167.86,0,0,0,0,0,0,0,0,0
"Russia",0,7300178.05,0,0,0,0,113750047.07,0,0,0,0,0,0,0,0
"Belgium",0,7492938,0,624411.5,0,0,0,0,0,8991525.6,0,0,0,0,0
"Israel",0,10690705,0,0,3144325,0,0,0,0,0,0,0,0,0,0
"Austria",0,6480837.8,0,355114.4,0,0,0,0,0,976564.6,0,0,0,7865783.96,0
"Romania",0,5083178.5,0,819867.5,0,0,0,0,0,1475761.5,0,0,0,0,0
"Myanmar",0,2806151.85,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,9684462.6,0,0,0,0,0,0,0,10760514,0,0,0,0,0
"Zimbabwe",0,12338040,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,5090600.7,0,0,0,0,0,0,0,698709.9,0,0,0,0,0
"Sierra Leone",0,10831311.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,21192029.7,0,151136956,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,5430384,0,252576,0,0,0,0,0,505152,0,0,0,0,0
"Morocco",0,6392384.6,0,4565989,33788318.6,0,0,0,0,14154565.9,0,0,0,0,0
"Norway",0,6121368,0,136030.4,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,5708577.6,0,232056,0,0,0,0,0,696168,0,0,0,0,0
"Singapore",2301166,5463625.56,0,0,0,723223.6,0,0,0,0,0,0,0,0,0
"Tanzania",0,136562722.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,5585827.44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,4106445,0,175990.5,0,0,0,0,0,586635,0,0,0,0,0
"Portugal",0,2428539.3,0,899459,0,0,0,0,8904644.1,2068755.7,0,0,0,0,0
"Papua New Guinea",0,6907957.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",3961507.2,3804697.54,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,8107932.81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,54294897.92,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,3589878.5,0,54897526.6,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,41085970.12,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,36043188.46,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,1968222.35,0,20573103.09,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,22532049.45,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,23300602.56,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,0,0,10758201.16,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,13211681.04,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,13979141.34,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,13116173.4,0,0,0,0,0,0,0,0,0,0,0
