"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Paraguay",0,0,0,8897180,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,6997410,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,7875740,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,5727877.44,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,5425039.41,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,3622153.16,0,0,0,0,0,3662.44,0,0,0,0,0
"Puerto Rico",0,1595003.4,0,3242517.2,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,6056378.7,0,197598,0,0,0,0,0,0,0,0,0,6224337,0
"Belarus",0,0,0,0,0,0,6016771.8,0,0,0,0,0,0,0,0
"Indonesia",0,0,0,0,0,241163017.5,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,10779047.2,0,0,36415.7,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,5814952.54,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,54144787.6,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,108794450,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,49542496
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55009428.6
"Nigeria",0,219034239.858,0,0,0,0,0,0,0,0,159738131.43,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,8898984.9,28066029.3,0,0,0,0
"Ghana",0,34197049.98,0,0,0,0,0,0,0,410159.52,25737509.88,0,0,0,0
"Tunisia",0,0,0,0,13606320,0,0,0,0,7497360,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,31299366,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,56269927,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,5849042.4,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,5265420,0,0,0,0,131635.5,0,0,0,0,0
"Bahrain",0,0,0,0,1186826.1,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,25231556,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,0,3986376.3,0,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,0,0,3498988.6,0,0,0,0,0,0,0,0,0,0
"Mauritania",0,0,0,0,7978850,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2164732,0,0,3842399.3,0,0,0,0,2056495.4,0,0,0,0,0
"Jordan",0,6384478.5,0,0,9505779.1,0,0,0,0,0,0,0,0,0,0
"Algeria",0,4020569,0,0,34462020,0,0,0,0,18954111,0,0,0,0,0
"Palestine",0,0,0,0,3590557.7,0,0,0,0,0,0,0,0,0,0
"Yemen",0,4347363.6,0,0,26567222,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,7483428.9,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,6444561.6,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,5897278.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,8375447.5,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,9505551,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,6675597,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,92779974,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,17467561.2,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,9868879.8,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,5966278.5,0,0,0,0,0
"Somalia",0,0,0,0,11114054.9,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,3773290,0,0,0,0,0,0,0,0,0,0
