,Mandarin,English,Hindi,Spanish,Arabic,Malay,Russian,Bengali,Portuguese,French,Hausa,Punjabi,Japanese,German,Persian
Ghana,0,0.667,0,0,0,0,0,0,0,0.008,0.502,0,0,0,0
Tunisia,0,0,0,0,0.98,0,0,0,0,0.54,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0
Lybia,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0.4,0,0,0,0,0.01,0,0,0,0,0
Bahrain,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0.4,0,0,0.71,0,0,0,0,0.38,0,0,0,0,0
Jordan,0,0.45,0,0,0.67,0,0,0,0,0,0,0,0,0,0
Algeria,0,0.07,0,0,0.6,0,0,0,0,0.33,0,0,0,0,0
Palestine,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
Yemen,0,0.09,0,0,0.55,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0
Congo-Brazzaville,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0
Congo-Kinshasa,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0
Cote de Ivore,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0
Somalia,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
