"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Ecuador",0,0,0,24201476.01,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,26669148.48,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,0,0,9455365.36,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,13300584,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,15447862.44,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,14001065.1,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,9225410,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,6680510,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,7977290,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,5614769.6,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,5924306.78,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,3528573.98,0,0,0,0,0,3567.82,0,0,0,0,0
"Puerto Rico",0,1357004.34,0,2758683.72,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",8905.314,6359039.55526,6046.102,423979.8726,11318.665,1577.025,0,3046.4656,0,29943.448,1050.8446,2401.863,0,6595255.478,4573.9932
"Belarus",0,0,0,0,0,0,5630383.98,0,0,0,0,0,0,0,0
"Indonesia",0,0,0,0,0,239874032.1,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,9469729.68,0,0,31992.33,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,5853320.94,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,81428086.48,0,0,0,0,0,0
"Japan",467380.848,220113.90842,8420.208,16457.9424,2414.931,31142.775,0,19705.4328,0,763.181,1181.5097,8804.952,96863419.349,0,6974.1504
"Afghanistan",0,26208.6566,0,0,39193.941,6751.086,0,118906.8604,0,0,0,0,0,0,56662848
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50197284.8748
"Nigeria",0,306884093.47722,0,0,0,0,0,0,0,0,223805609.9787,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,15001899.9,47313684.3,0,0,0,0
"Ghana",0,42650274.48,0,0,0,0,0,0,0,511547.52,32099606.88,0,0,0,0
"Tunisia",0,0,0,0,13700899.8,0,0,0,0,7549475.4,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,33913233.384,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,5495.666,325.61,74077699.385,0,0,955.768,0,1556.973,16591.9392,358.413,0,0,0
"Libya",0,0,0,0,5696896.896,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,1289855.4408,926458.722,1375.176,7963518.375,12075.3,0,324352.218,0,156524.035,0,793454.901,0,0,121252.4208
"Bahrain",0,0,0,0,1244558.1,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,3617107.03584,1399508.232,38099.185,32972265.097,666562.429,0,1335221.4584,0,103041.43,13014.6174,1016786.052,0,0,4977.8316
"Oman",0,346764.9785,374863.936,951.657,4902431.17,0,0,329296.008,0,3018.459,0,115955.424,0,0,0
"Kuwait",0,353772.0262,142279.472,2453.622,4649214.813,47298.825,0,122020.76,0,10642.32,0,99375.192,0,0,0
"Mauritania",0,0,0,0,10597977.6,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2185407.4964,42640.252,2197.58,3916465.009,16064.25,0,39696.8176,0,1982621.457,0,28507.35,0,0,2998.1532
"Jordan",12159.642,7449230.1175,3466.56,273.705,11304875.07,15509.85,0,14789.078,0,8972.019,0,4995.12,0,0,0
"Algeria",0,4318294.4,0,0,37013952,0,0,0,0,20357673.6,0,0,0,0,0
"Palestine",0,0,0,0,4601882.4,0,0,0,0,0,0,0,0,0,0
"Yemen",0,4888807.2,0,0,29876044,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,10554834.387,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,8781686.4,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,5957884.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,11511622.5,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,13272243.6,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,9514575.2,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,131794678.7,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,24674945.8,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,13643070.3,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,7809282,0,0,0,0,0
"Somalia",0,0,0,0,16555915.8,0,0,0,0,0,0,0,0,0,0
"Qatar",0,161100.346,66544.336,3077.122,4391600.357,24186.45,0,61247.592,0,9134.719,0,44347.992,0,0,4754.9796
