"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",794495388.786,10262604.059,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",5779109.548,408626044.017,2872941.794,56132523.6452,3211772.168,165217.125,2095808.15,835818.9068,1676646.52,2996266.93,0,769814.119,838323.26,2095808.15,500926.7256
"India",0,199689908.23,760676356.84,0,0,0,0,132291540.32,0,0,0,49609327.62,0,0,0
"Pakistan",0,191764298.617,0,0,0,0,0,0,0,0,0,162082896.912,0,0,0
"Philippines",0,100011131.5546,0,4808190.924,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",127088.94,78614140.89418,488503.624,4808579.2318,89554.324,0,0,531598.9528,0,12542267.162,89122.3118,439283.412,0,0,105735.7476
"Germany",119496.498,52930882.89242,41386.43,3227363.3682,213175.88,21160.35,0,39255.5724,0,10613283.348,12879.3232,48072.171,0,73556018.542,162092.4312
"Canada",1309272.69,43369263.81794,785486.25,1081821.955,763899.655,40440.192,241198.65,202145.5196,289438.38,14023841.45,7207.0419,784194.096,48239.73,530637.03,383155.3488
"France",29155.83,28382857.35912,76615.346,10390024.2888,709167.666,33890.625,0,37306.0332,0,70803273.442,1135.0242,47253.789,0,0,28110.6336
"Australia",249399.942,37198668.20628,104476.12,788657.832,92670.318,87336.525,0,38302.8288,0,8685.332,1680.1688,20067.9,0,0,30072.6132
"Italy",0,17181192.8,0,5558621.2,0,0,0,0,0,7579938,0,0,0,0,0
"Bangladesh",0,35028595.938,0,0,0,0,0,194100641.0356,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,60512776.113,0,0,161373200.565,0,0,0,0,5193968.601,0,0,0,0,0
"Thailand",0,15623119.68,0,0,0,1723138.2,0,0,0,0,0,0,0,0,0
"Netherlands",0,15367077,0,853726.5,0,0,0,0,0,3585651.3,0,0,0,0,0
"Nepal",0,16484318.8335,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,23858390.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,10123359.1,0,273604.3,0,0,0,0,0,820812.9,0,0,0,0,0
"Turkey",1954.722,16125577.9114,797.732,0,13519.455,0,0,138.736,0,0,0,1259.61,0,0,15468.3396
"Iraq",0,39390912.734,0,74271588.6,0,0,0,0,0,402.627,0,0,0,0,0
"Sri Langka",0,8039757.803,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,8354027.179,0,38328285.9596,0,0,0,0,0,4175531.014,0,0,0,0,0
"Brazil",0,11094765.5,0,6656859.3,0,0,0,0,221895310,0,0,0,0,0,0
"Sweden",0,10701994.8,0,746650.8,0,0,0,0,0,1368859.8,0,0,0,0,0
"Kenya",0,22679280.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,25879356.6,0,0,0,0,0,0,0,27241428,0,0,0,0,0
"Malaysia",10243918.416,27751796.2655,30521.552,24739.288,0,20072292.828,0,199702.4312,0,0,0,6900.696,0,0,0
"Russia",1970.76,6966513.962,0,46586.16,0,0,108357528.87,0,0,0,0,0,0,0,13742.736
"Belgium",0,7616640,0,634720,0,0,0,0,0,9139968,0,0,0,0,0
"Israel",0,12582584,0,0,3700760,0,0,0,0,0,0,0,0,0,0
"Austria",0,6231637.7,0,341459.6,0,0,0,0,0,939013.9,0,0,0,7563330.14,0
"Romania",0,3559306.613,0,598637.805,0,0,0,0,0,1020921.65,0,0,0,0,0
"Myanmar",0,2682532.0905,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,13189388.4,0,0,0,0,0,0,0,14654876,0,0,0,0,0
"Zimbabwe",0,15044294.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,4421904,0,0,0,0,0,0,0,606928,0,0,0,0,0
"Sierra Leone",0,12842575.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,8725226.7199,0,132130212.412,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,5649649.6,0,262774.4,0,0,0,0,0,525548.8,0,0,0,0,0
"Morocco",0,6268544.32,0,4542651.84,33615623.616,0,0,0,0,13696361.752,0,0,0,0,0
"Norway",0,6714720,0,149216,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,5955315.6,0,242086,0,0,0,0,0,726258,0,0,0,0,0
"Singapore",2446737.134,5567791.0346,57437.578,5459.772,0,778574.6,0,57165.2548,0,0,0,16108.617,0,0,0
"Tanzania",0,201795619.34,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,5859276.24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,4213356,0,180572.4,0,0,0,0,0,601908,0,0,0,0,0
"Portugal",0,2103121.8,0,778934,0,0,0,0,7711446.6,1791548.2,0,0,0,0,0
"Papua New Guinea",0,8294468.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",3960316.8,3803554.26,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,11039482.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,51632161.6,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,3784370.85,0,57871763.46,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,42836301.04,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,37345548.54,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,1939298.65,0,20270774.31,0,0,0,0,0,0,0,0,0,0,0
