"","List_Of_Countries","Mandarin_2070","English_2070","Hindi_2070","Spanish_2070","Arabic_2070","Malay_2070","Russian_2070","Bengali_2070","Portuguese_2070","French_2070","Hausa_2070","Punjabi_2070","Japanese_2070","German_2070","Persian_2070"
"90","Mauritania",0,0,0,0,2.10441961908106,0,0,0,0,0,0,0,0,0,0
"91","Lebanon",0,0.113528113259619,0.0251941389831017,0.00160364748820885,0.870316966306848,0.0274430328698298,0,0.054403530550575,0,0.411586303517861,0,0.0597956484776431,0,0,0.00755673084497733
"92","Jordan",0.00668059948664759,0.352156882788837,0.00204263110251374,0.000197402409703605,2.51012157002056,0.026459629815427,0,0.0201653503035086,0,0.00842945014294767,0,0.0108792260715276,0,0,0
"93","Algeria",0,0.191727348974063,0,0,7.34978782824797,0,0,0,0,4.17746201762975,0,0,0,0,0
"94","Palestine",0,0,0,0,0.913786759396796,0,0,0,0,0,0,0,0,0,0
"95","Yemen",0,0.217057466971523,0,0,5.93242744107414,0,0,0,0,0,0,0,0,0,0
"96","Mali",0,0,0,0,0,0,0,0,0,2.15610068736893,0,0,0,0,0
"97","Guinea",0,0,0,0,0,0,0,0,0,1.80203112141142,0,0,0,0,0
"98","Haiti",0,0,0,0,0,0,0,0,0,1.22257768478092,0,0,0,0,0
"99","Benin",0,0,0,0,0,0,0,0,0,2.36222304669636,0,0,0,0,0
"100","Burkina Faso",0,0,0,0,0,0,0,0,0,2.7235083250244,0,0,0,0,0
"101","Congo-Brazzaville",0,0,0,0,0,0,0,0,0,1.95242232942972,0,0,0,0,0
"102","Congo-Kinshasa",0,0,0,0,0,0,0,0,0,27.0447043809056,0,0,0,0,0
"103","Cote de Ivore",0,0,0,0,0,0,0,0,0,5.06338056557566,0,0,0,0,0
"104","Senegal",0,0,0,0,0,0,0,0,0,2.79960319150133,0,0,0,0,0
"105","Togo",0,0,0,0,0,0,0,0,0,1.60249051934695,0,0,0,0,0
"106","Somalia",0,0,0,0,3.28747571813835,0,0,0,0,0,0,0,0,0,0
"107","Qatar",0,0.032688976608569,0.0396353432618481,0.0023747968573607,1.01607376355558,0.0413569839062521,0,0.084227412459862,0,0.00904694999706025,0,0.0938825286640136,0,0,0.0127955786456367
