"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",935532054.6,14174728.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",3740687.5,357235656.25,1496275,49751143.75,2618481.25,0,1870343.75,374068.75,1496275,2618481.25,0,374068.75,748137.5,1870343.75,0
"India",0,195853379.54,738463562.2,0,0,0,0,128428445.6,0,0,0,48160667.1,0,0,0
"Pakistan",0,158171916.3,0,0,0,0,0,0,0,0,0,133197403.2,0,0,0
"Philippines",0,88828178.53,0,4183430.7,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,71443349.71,0,4387513.8,0,0,0,0,0,11700036.8,0,0,0,0,0
"Germany",0,56769692,0,3243982.4,0,0,0,0,0,11353938.4,0,0,0,78666573.2,0
"Canada",731079.73,36812014.64,387042.21,860093.8,516056.28,17201.876,215023.45,86009.38,258028.14,12471360.1,0,602065.66,43004.69,473051.59,258028.14
"France",0,27162840.9,0,9750763.4,0,0,0,0,0,67558860.7,0,0,0,0,0
"Australia",0,29841700.8,0,615292.8,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,19336537.8,0,6255938.7,0,0,0,0,0,8530825.5,0,0,0,0,0
"Bangladesh",0,35332975.8,0,0,0,0,0,193938778.28,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,47972928.5,0,0,127470924.3,0,0,0,0,4111965.3,0,0,0,0,0
"Thailand",0,18588063.84,0,0,0,2050154.1,0,0,0,0,0,0,0,0,0
"Netherlands",0,15930261,0,885014.5,0,0,0,0,0,3717060.9,0,0,0,0,0
"Nepal",0,16306824.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,21413680.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,12822194.6,0,346545.8,0,0,0,0,0,1039637.4,0,0,0,0,0
"Turkey",0,15806739.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0,23363193,0,44056306.8,0,0,0,0,0,0,0,0,0,0,0
"Sri Langka",0,10056928.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,10018470,0,44992038,0,0,0,0,0,5009235,0,0,0,0,0
"Brazil",0,11580083,0,6948049.8,0,0,0,0,231601660,0,0,0,0,0,0
"Sweden",0,9595785.4,0,669473.4,0,0,0,0,0,1227367.9,0,0,0,0,0
"Kenya",0,15281931.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,15587919.2,0,0,0,0,0,0,0,16408336,0,0,0,0,0
"Malaysia",9282372.84,24832330.76,0,0,0,16382991.38,0,0,0,0,0,0,0,0,0
"Russia",0,7471007.5,0,0,0,0,116411880.5,0,0,0,0,0,0,0,0
"Belgium",0,7376328,0,614694,0,0,0,0,0,8851593.6,0,0,0,0,0
"Israel",0,9589317.5,0,0,2820387.5,0,0,0,0,0,0,0,0,0,0
"Austria",0,6542340.3,0,358484.4,0,0,0,0,0,985832.1,0,0,0,7940429.46,0
"Romania",0,5413564.1,0,873155.5,0,0,0,0,0,1571679.9,0,0,0,0,0
"Myanmar",0,2767009.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,7986178.8,0,0,0,0,0,0,0,8873532,0,0,0,0,0
"Zimbabwe",0,10660407.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,5330453.7,0,0,0,0,0,0,0,731630.9,0,0,0,0,0
"Sierra Leone",0,9521580.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,20341967.43,0,145074496.4,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,5325360.8,0,247691.2,0,0,0,0,0,495382.4,0,0,0,0,0
"Morocco",0,6119919.4,0,4371371,32348145.4,0,0,0,0,13551250.1,0,0,0,0,0
"Norway",0,5766264,0,128139.2,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,5442071.04,0,221222.4,0,0,0,0,0,663667.2,0,0,0,0,0
"Singapore",2297071,5453902.86,0,0,0,721936.6,0,0,0,0,0,0,0,0,0
"Tanzania",0,107859865.28,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,5381122.26,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,4069471,0,174405.9,0,0,0,0,0,581353,0,0,0,0,0
"Portugal",0,2563695.9,0,949517,0,0,0,0,9400218.3,2183889.1,0,0,0,0,0
"Papua New Guinea",0,6087701.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",3935548.8,3779766.66,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,6688453.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,54178179.2,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,3418066.6,0,52270126.16,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,39103814.88,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,34298873.94,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,1935967,0,20235949.8,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,21053966.94,0,0,0,0,0,0,0,0,0,0,0
