"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Guatemala",0,0,0,20964502.08,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,0,0,11198473.58,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,12779407.08,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,12871495.86,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,12216025.8,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,8460300,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,6961520,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,7548560,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,5613628.8,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,5026543.48,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,3610799.44,0,0,0,0,0,3650.96,0,0,0,0,0
"Puerto Rico",0,1688572.98,0,3432736.84,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,5876794.22,0,191738.8,0,0,0,0,0,0,0,0,0,6039772.2,0
"Belarus",0,0,0,0,0,0,6203812.68,0,0,0,0,0,0,0,0
"Indonesia",0,0,0,0,0,234100642.5,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,11442770.96,0,0,38658.01,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,5572998.74,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,42185288,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,115212070,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43931296
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54036882.48
"Nigeria",0,177713992.806,0,0,0,0,0,0,0,0,129603943.01,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,6468139.6,20399517.2,0,0,0,0
"Ghana",0,29495953.94,0,0,0,0,0,0,0,353774.56,22199353.64,0,0,0,0
"Tunisia",0,0,0,0,13165849.2,0,0,0,0,7254651.6,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,28335024.8,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,47150222,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,5634180,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,4882932,0,0,0,0,122073.3,0,0,0,0,0
"Bahrain",0,0,0,0,1124667.3,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,23955461.6,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,0,3742676.8,0,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,0,0,3300768.4,0,0,0,0,0,0,0,0,0,0
"Mauritania",0,0,0,0,6659344.9,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2156968,0,0,3828618.2,0,0,0,0,2049119.6,0,0,0,0,0
"Jordan",0,5705919,0,0,8495479.4,0,0,0,0,0,0,0,0,0,0
"Algeria",0,3727430,0,0,31949400,0,0,0,0,17572170,0,0,0,0,0
"Palestine",0,0,0,0,3036985.9,0,0,0,0,0,0,0,0,0,0
"Yemen",0,3868769.7,0,0,23642481.5,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,5979540.9,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,5294383.2,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,5650717.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,6864879,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,7689836,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,5399005.4,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,73843580,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,14210646.8,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,8057696.4,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,5015669.1,0,0,0,0,0
"Somalia",0,0,0,0,8725229,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,3536620,0,0,0,0,0,0,0,0,0,0
