"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Indonesia",0,0,0,0,0,242739592.5,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,9469729.68,0,0,31992.33,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,5853320.94,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,81428086.48,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,96369240,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,56662848
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,51260134.8
"Nigeria",0,307271630.82,0,0,0,0,0,0,0,0,224088234.7,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,15001899.9,47313684.3,0,0,0,0
"Ghana",0,42650274.48,0,0,0,0,0,0,0,511547.52,32099606.88,0,0,0,0
"Tunisia",0,0,0,0,13700899.8,0,0,0,0,7549475.4,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,34976909.6,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,74649148,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,5782060.8,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,5736964,0,0,0,0,143424.1,0,0,0,0,0
"Bahrain",0,0,0,0,1244558.1,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,25849796,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,0,4193295.2,0,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,0,0,3699422.2,0,0,0,0,0,0,0,0,0,0
"Mauritania",0,0,0,0,10597977.6,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2080164,0,0,3692291.1,0,0,0,0,1976155.8,0,0,0,0,0
"Jordan",0,7314277.5,0,0,10890146.5,0,0,0,0,0,0,0,0,0,0
"Algeria",0,4318294.4,0,0,37013952,0,0,0,0,20357673.6,0,0,0,0,0
"Palestine",0,0,0,0,4601882.4,0,0,0,0,0,0,0,0,0,0
"Yemen",0,4888807.2,0,0,29876044,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,10567679.4,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,8781686.4,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,5957884.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,11511622.5,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,13272243.6,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,9514575.2,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,131794678.7,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,24674945.8,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,13643070.3,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,7809282,0,0,0,0,0
"Somalia",0,0,0,0,16555915.8,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,4047700,0,0,0,0,0,0,0,0,0,0
