"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","65047.036","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","15737.52","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","2545.272","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1157.912","0","0","0","0","0","0","0","0","0","0"
"5","Syrian Arab Republic","Australia","0","0","0","0","10912.028","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","0","0","0","21802.896","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","34299.44","0","0","0","0","0","0","0","0","0","0"
"8","Syrian Arab Republic","United Kingdom","0","0","0","0","8372.552","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","0","0","0","73834.784","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","93.1040000000007","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","52080.004","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","184862.04","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","9739.12","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","182773.364","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","4146.164","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","13702.388","0","0","0","0","0","0","0","0","0","0"
"17","India","United Arab Emirates","0","152190.8398","573834.314","0","0","0","0","99797.272","0","0","0","37423.977","0","0","0"
"18","India","Qatar","0","10943.6928","41263.104","0","0","0","0","7176.192","0","0","0","2691.072","0","0","0"
"19","India","Oman","0","62286.368","234850.24","0","0","0","0","40843.52","0","0","0","15316.32","0","0","0"
"20","India","Switzerland","0","994.0682","3748.126","0","0","0","0","651.848","0","0","0","244.443","0","0","0"
"21","India","Afghanistan","0","-1668.96","-6292.8","0","0","0","0","-1094.4","0","0","0","-410.4","0","0","0"
"22","India","Australia","0","17836.7416","67253.288","0","0","0","0","11696.224","0","0","0","4386.084","0","0","0"
"23","India","Canada","0","58303.556","219833.08","0","0","0","0","38231.84","0","0","0","14336.94","0","0","0"
"24","India","Germany","0","7157.4594","26987.142","0","0","0","0","4693.416","0","0","0","1760.031","0","0","0"
"25","India","United Kingdom","0","92400.116","348393.88","0","0","0","0","60590.24","0","0","0","22721.34","0","0","0"
"26","India","United States","0","196297.5974","740138.482","0","0","0","0","128719.736","0","0","0","48269.901","0","0","0"
"27","India","Iraq","0","-93.757","-353.51","0","0","0","0","-61.48","0","0","0","-23.055","0","0","0"
"28","India","Jordan","0","558.0768","2104.224","0","0","0","0","365.952","0","0","0","137.232","0","0","0"
"29","India","Kuwait","0","24139.1152","91016.336","0","0","0","0","15828.928","0","0","0","5935.848","0","0","0"
"30","India","Lebanon","0","6902.00360000001","26023.948","0","0","0","0","4525.904","0","0","0","1697.214","0","0","0"
"31","India","Malaysia","0","8425.808","31769.44","0","0","0","0","5525.12","0","0","0","2071.92","0","0","0"
"32","India","Saudi Arabia","0","232008.62","874786.6","0","0","0","0","152136.8","0","0","0","57051.3","0","0","0"
"33","India","Sudan","0","980.2334","3695.962","0","0","0","0","642.776","0","0","0","241.041","0","0","0"
"34","India","Turkey","0","154.4764","582.452","0","0","0","0","101.296","0","0","0","37.986","0","0","0"
"35","India","France","0","14154.1838","53368.234","0","0","0","0","9281.432","0","0","0","3480.537","0","0","0"
"36","India","Japan","0","1384.3584","5219.712","0","0","0","0","907.776","0","0","0","340.416","0","0","0"
"37","India","Singapore","0","11808.9046","44525.378","0","0","0","0","7743.544","0","0","0","2903.829","0","0","0"
"38","Bangladesh","United Arab Emirates","0","18419.31","0","0","0","0","0","101101.546","0","0","0","0","0","0","0"
"39","Bangladesh","Qatar","0","5529.96","0","0","0","0","0","30353.336","0","0","0","0","0","0","0"
"40","Bangladesh","Oman","0","30144.312","0","0","0","0","0","165458.7792","0","0","0","0","0","0","0"
"41","Bangladesh","Switzerland","0","227.808","0","0","0","0","0","1250.4128","0","0","0","0","0","0","0"
"42","Bangladesh","Afghanistan","0","13946.922","0","0","0","0","0","76553.1052","0","0","0","0","0","0","0"
"43","Bangladesh","Australia","0","2229.696","0","0","0","0","0","12238.5536","0","0","0","0","0","0","0"
"44","Bangladesh","Canada","0","5044.302","0","0","0","0","0","27687.6132","0","0","0","0","0","0","0"
"45","Bangladesh","Germany","0","3549.258","0","0","0","0","0","19481.4828","0","0","0","0","0","0","0"
"46","Bangladesh","United Kingdom","0","50369.076","0","0","0","0","0","276470.2616","0","0","0","0","0","0","0"
"47","Bangladesh","United States","0","23076.072","0","0","0","0","0","126661.9952","0","0","0","0","0","0","0"
"48","Bangladesh","Jordan","0","1556.586","0","0","0","0","0","8543.9276","0","0","0","0","0","0","0"
"49","Bangladesh","Kuwait","0","10898.856","0","0","0","0","0","59822.6096","0","0","0","0","0","0","0"
"50","Bangladesh","Lebanon","0","3576.888","0","0","0","0","0","19633.1408","0","0","0","0","0","0","0"
"51","Bangladesh","Malaysia","0","21817.476","0","0","0","0","0","119753.7016","0","0","0","0","0","0","0"
"52","Bangladesh","Saudi Arabia","0","124335.972","0","0","0","0","0","682466.3352","0","0","0","0","0","0","0"
"53","Bangladesh","France","0","3066.57","0","0","0","0","0","16832.062","0","0","0","0","0","0","0"
"54","Bangladesh","Japan","0","2034.036","0","0","0","0","0","11164.5976","0","0","0","0","0","0","0"
"55","Bangladesh","Singapore","0","5409.774","0","0","0","0","0","29693.6484","0","0","0","0","0","0","0"
"56","China","Switzerland","5635.674","85.389","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","China","Australia","156049.806","2364.391","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","China","Canada","310613.952","4706.272","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","China","Germany","72253.962","1094.757","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","China","United Kingdom","80186.7","1214.95","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","China","United States","1013141.712","15350.632","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","China","Jordan","7299.138","110.593","0","0","0","0","0","0","0","0","0","0","0","0","0"
