"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","85032.932","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","20252.512","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","3304.088","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1468.504","0","0","0","0","0","0","0","0","0","0"
"5","Syrian Arab Republic","Australia","0","0","0","0","14133.316","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","0","0","0","28381.632","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","44403.984","0","0","0","0","0","0","0","0","0","0"
"8","Syrian Arab Republic","United Kingdom","0","0","0","0","10699.784","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","0","0","0","91792.08","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","-1404.288","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","67945.772","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","235312.264","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","12730.96","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","237589.724","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","3895.004","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","16852.652","0","0","0","0","0","0","0","0","0","0"
"17","India","United Arab Emirates","0","198951.9026","750146.518","0","0","0","0","130460.264","0","0","0","48922.599","0","0","0"
"18","India","Qatar","0","14296.204","53903.72","0","0","0","0","9374.56","0","0","0","3515.46","0","0","0"
"19","India","Oman","0","80853.4016","304857.088","0","0","0","0","53018.624","0","0","0","19881.984","0","0","0"
"20","India","Switzerland","0","1298.7998","4897.114","0","0","0","0","851.672","0","0","0","319.377","0","0","0"
"21","India","Afghanistan","0","-2962.1112","-11168.616","0","0","0","0","-1942.368","0","0","0","-728.388","0","0","0"
"22","India","Australia","0","22772.8128","85864.704","0","0","0","0","14932.992","0","0","0","5599.872","0","0","0"
"23","India","Canada","0","75741.016","285580.88","0","0","0","0","49666.24","0","0","0","18624.84","0","0","0"
