"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belgium","BEL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","102.8277635","110.9254499","110.9254499","119.4087404","123.5218509","129.4344473","135.9897172","133.4190231","118.5089974","128.5347044","133.6760925","132.6478149","135.6041131","138.3033419","140.1028278","144.7300771","",
"Benin","BEN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","28.08580619","17.86057118","8.560490364","25.68821432","65.34214379","61.61923417","37.32714363","35.43925954","19.11523102","66.93628068","68.59490926","85.81654783","123.9102383","116.3583538","111.4253659","82.95734689","119.0799531","96.61493152","91.09537872","96.06060567","100","108.7742036","135.011493","132.3224447","125.8617228","118.1995563","136.3719773","176.2750527","171.214355","180.7905782","155.8785431","134.6983235","159.5048091","230.7819249","306.1374697","238.5054113","174.7485012","",
"Burkina Faso","BFA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","56.68937295","55.63329844","41.37261686","37.93602936","46.54480477","42.17488038","47.03645477","67.53153545","54.70906004","34.04075979","52.19235138","39.30121286","34.17870007","37.75396912","41.49258957","89.38025346","78.96738946","86.22306294","125.1662876","111.9353848","100","120.1521005","136.5080015","137.1835396","203.1963961","215.9170014","248.8679508","232.7218955","218.7181947","294.6415592","386.7154507","446.3320375","411.3604483","491.1359038","551.1207299","543.8877919","561.912943","",
"Bangladesh","BGD","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","14.45517115","16.04577006","16.47122858","16.17390559","20.21603323","18.14873811","18.83641117","21.94137348","24.90639363","25.1743682","32.24453665","31.04887959","39.02738279","43.41149883","51.97431854","68.63555559","68.84976","78.78479423","81.15714754","85.29668691","100","96.43923317","98.29732382","111.4399884","130.699541","144.9457836","184.4184423","191.7112919","227.9556646","219.4651112","271.5510049","316.3116377","319.0551081","382.2226146","403.3938489","437.2656295","475.7667992","",
"Bulgaria","BGR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","111.1597374","119.9124726","134.1356674","149.2341357","165.2078775","182.2757112","196.0612691","211.3785558","182.0568928","218.8183807","263.0196937","261.7067834","293.2166302","296.9365427","311.8161926","328.4463895","",
"Bahrain","BHR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95.32987057","103.2353934","107.1301554","102.9344909","109.8277886","106.6326995","111.1566637","115.7550966","103.9609398","107.5433795","118.8527773","124.9807758","142.8890649","135.2885196","125.4382653","118.0923853","",
"Bahamas, The","BHS","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","80.63065624","88.45197834","76.33921571","78.09059259","81.90478977","95.46485493","101.8059511","99.77267918","89.98862133","76.23084534","72.73416605","84.07786501","96.58692088","85.91102543","60.96016337","56.43372692","",
"Bosnia and Herzegovina","BIH","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.50213826","96.69904042","119.401393","145.4417173","180.3764259","226.8718266","263.8312261","287.3148121","247.3619428","276.1265174","292.2257017","267.6531591","301.8126375","315.5763206","297.6840865","318.5716098","",
"Belarus","BLR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","105.2682395","115.5228465","131.1167868","158.2418858","153.3778197","166.0131319","174.843335","175.9878771","155.9779454","160.4092282","213.293643","236.2494065","195.0674959","202.8660103","207.3542128","206.9507316","",
"Belize","BLZ","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","84.62002275","149.7020114","169.5326232","155.1715015","147.9909827","166.7634991","159.4949615","159.1027092","139.9346795","154.2595109","162.9302431","172.3889745","178.5254024","171.9508515","175.7545194","132.7804377","",
"Bermuda","BMU","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","73.16531063","113.7523098","104.8041147","143.9078893","97.38018754","47.4794524","43.56295086","30.55705925","48.92714551","22.42096814","19.75405551","17.39700624","15.48281877","26.94360388","28.61439643","24.17183282","",
"Bolivia","BOL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","51.08851837","50.48233201","45.48651946","43.8738163","39.2842619","35.70671692","49.8795633","44.97052634","48.33325952","64.89179831","74.57591631","74.21278866","73.10782916","74.89923351","89.32882248","88.63781864","83.3195945","86.25087804","89.78121187","89.06059374","100","109.1286828","109.4241768","125.3563692","133.3572357","155.5948873","182.2417678","184.1310659","212.9397747","193.6347487","216.6377816","225.6893414","271.760182","288.4657712","329.0810225","305.284662","278.6782929","",
"Brazil","BRA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","31.50582441","38.79366798","35.90668299","42.29201191","50.53989824","51.71547152","44.5839578","51.74555206","59.61132293","61.79868826","57.60327765","56.83395794","64.97705389","72.90698477","74.5753573","72.15855752","74.08314568","80.84331515","82.89031072","88.93653603","100","109.4759541","118.8981838","137.5353671","163.7173982","179.1054598","185.4257989","195.6024018","190.7742643","170.2736416","185.8977934","191.5072593","191.0356366","196.7391668","192.6975629","208.4062982","215.5356645","",
"Barbados","BRB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.78677562","94.69894391","87.88207392","84.80641831","89.31375356","114.1580813","110.0912891","88.06992424","72.4811418","77.37212258","73.0609832","88.61551268","75.58989727","78.93417968","88.2331085","96.87612219","",
"Brunei Darussalam","BRN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","94.33187324","108.3622874","107.9299775","102.7160427","87.96545141","85.98040937","80.87886845","74.63921997","79.21834014","86.42563256","90.96243037","88.51025839","81.94960598","80.95595024","75.6668346","86.75829904","",
"Bhutan","BTN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.03834979","103.774677","114.3525602","126.4287308","152.2709409","216.7802028","349.5869102","203.0664085","235.9539967","268.034225","241.0360508","214.3876745","231.3715442","254.2097341","278.2114832","283.7153464","",
"Botswana","BWA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","22.95222363","19.55306549","27.78193179","38.8919773","46.91679109","58.33923318","61.97876413","85.2121223","73.64868739","75.09508553","62.65002721","67.26980107","63.73055293","64.76852193","66.12749115","72.4371612","89.04217787","96.97853954","71.08750315","95.54577452","100","95.45665979","94.90735398","107.3709089","124.7163393","151.0516884","136.7848825","139.7122235","142.5497603","107.0574134","132.0077136","150.522142","152.8292326","207.7117917","217.3168918","170.0914216","202.3603936","",
"Central African Republic","CAF","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","20.92674489","17.48268502","19.4745053","14.47510174","17.66232351","16.644413","11.27980265","21.07141827","20.63688343","19.90900468","17.13922484","22.08660772","17.57214331","19.18532037","44.35662971","43.05355956","42.099488","61.28755303","66.81095651","75.91625752","100","92.41574936","98.27177337","76.97915359","74.41206391","69.74660572","82.9079473","85.38062494","69.30332131","59.43037182","61.19053353","73.87133402","83.68741375","47.38536001","37.45327593","39.23206609","43.81696612","",
"Canada","CAN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95.99762199","96.59669822","95.01806375","100.2030457","102.4895962","103.294462","104.7679151","100.053048","85.38546668","91.4620204","96.40371336","99.92225728","101.6682673","107.9105501","112.7123062","113.9342388","",
"Central Europe and the Baltics","CEB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.94342412","105.9533289","105.0444571","110.9051388","116.2290571","127.8044915","136.7108807","139.2985139","117.7709351","128.4311098","138.5221859","192.1319598","217.5108736","183.4765011","182.9667887","186.9790157","",
"Channel Islands","CHI","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","16.7764596","15.85004539","18.19827591","19.17290764","19.19530016","21.76087656","22.26271684","26.14633015","33.07065987","33.91325856","37.57278558","41.19056891","48.23511924","49.36516284","54.91419612","59.15930959","70.87094808","82.46958594","90.39255426","98.17363888","100","107.4038315","107.4246756","117.4319855","134.8355999","137.9824707","143.229089","152.5851674","149.3232201","145.0030036","144.7502696","150.7235342","153.8434815","159.6980509","162.5290767","159.8714618","159.2633659","",
"China","CHN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","7.190964398","8.743517899","9.428373444","10.25153246","12.34004595","12.61492904","15.52047929","18.40145453","21.66725703","22.42809652","25.6864244","29.44489072","34.0846619","37.95357331","48.55720035","56.85936289","56.64713312","67.91726097","70.88444114","77.44729803","100","109.694188","138.6582488","182.785201","226.8347239","283.6441931","346.1719795","414.8560285","450.2958821","403.192961","516.4926068","561.8922874","596.8391727","647.4202795","683.7496354","677.894392","677.6427467","",
"Cote d'Ivoire","CIV","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","55.99386439","56.17034335","56.83341363","53.23572699","62.16208272","63.11881043","63.90730953","62.48633634","58.87758858","69.42994956","76.71302521","67.07308166","63.20528263","67.479467","69.14676468","80.23491906","89.33764194","99.55409636","99.5612607","102.4733137","100","97.2096341","100.8493083","106.2095578","119.2356121","115.5963446","114.482453","103.9478094","97.83049481","116.2699183","98.49116908","94.29941496","99.84707271","106.6648624","107.9231184","107.2173754","112.8705119","",
"Cameroon","CMR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","58.591574","58.08455598","33.78707968","41.29351848","46.95434109","44.83132618","49.01950706","51.93407102","57.54689454","85.52714522","125.4937942","100.4663032","112.1204116","110.5929794","96.88795599","94.04919118","102.6451492","108.8080113","131.6419103","127.5373758","100","100.4161598","96.81168166","111.695637","101.3845674","94.34698476","101.4365442","109.5810387","107.6149275","84.04559369","74.21238418","70.81451907","70.14123306","76.87768655","89.11465405","84.18546443","98.24900328","",
"Congo, Dem. Rep.","COD","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","84.09933284","71.91839534","65.83059211","87.68462659","147.4908201","156.2921727","145.2883706","154.9043062","188.1884945","170.9818902","136.0233918","119.21631","70.66696915","66.9005848","62.59968102","80.96032993","86.94736842","73.7959285","56.25476735","110.5974395","100","110.8073655","146.6844256","169.763411","210.9438083","222.0523517","200.2839894","205.6512385","220.7806849","256.3760433","287.2172547","308.7326526","321.6862384","336.8717628","374.3253106","412.8243833","399.4041782","",
"Congo, Rep.","COG","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","39.76603315","34.30532799","44.30419017","32.95554713","60.14200376","57.4799227","65.01208923","63.04359743","73.84184867","82.10650729","53.2602241","56.67106332","65.77097219","89.44976089","64.20757453","73.60754561","70.18151285","95.7442962","112.1398289","93.54224407","100","93.09159268","103.198865","104.5678985","105.1244408","105.369412","111.982003","93.68178643","103.3619881","104.3595135","128.3231281","123.8931011","106.4876012","98.98046212","106.7755914","82.55219178","77.2784275","",
"Colombia","COL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","35.81751332","29.03715009","28.26981725","29.49348","32.76456301","34.46747527","41.60936299","46.82985053","48.88294655","53.44768167","66.50236186","71.08571509","73.6489232","74.73421771","72.51990496","83.80281197","83.67846319","90.14245644","98.22577379","100.8476661","100","104.3435497","104.1563551","113.0693572","122.2658481","131.3888889","137.7308205","148.8712799","153.8906339","155.8825116","158.6395076","179.5188464","197.1755822","208.1528016","221.1561647","227.8778793","226.3544641","",
"Comoros","COM","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","117.3491074","249.3575453","300.5057847","244.6749751","140.7187215","264.999793","267.4822642","134.1643396","228.6125545","205.7844319","170.8861889","265.0949227","225.195192","265.5258176","182.3616869","120.4061803","67.30778855","70.12802105","51.71405639","58.9749055","100","201.8758849","236.5957809","278.5528599","204.137629","134.2702307","99.26928559","115.4607843","46.47305736","105.8101752","123.1856794","109.5742696","80.6851394","87.07147907","82.67893968","55.94065704","114.9616685","",
"Cabo Verde","CPV","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","50.93100927","18.32682279","32.03287536","53.82146533","38.7353088","108.7495077","61.15075622","83.66194858","33.27255687","72.43536685","51.97867135","37.47798749","36.87366983","34.1467048","36.13799005","62.1687023","96.10233392","111.0740974","83.17886278","92.06710186","100","92.54936801","98.94679053","117.4841795","136.9081552","131.0864885","139.016579","121.760846","186.3375508","206.7154881","235.7042503","320.6666344","261.0824322","347.2761564","409.8613046","366.9092346","332.0295933","",
"Costa Rica","CRI","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","20.63127117","20.76308722","18.59924441","19.12436448","20.98085497","19.86263846","19.34831157","22.75978786","23.66123239","27.48004171","30.56398165","31.7587346","34.96475603","47.74749314","49.69951839","52.12293088","59.49023027","66.15876516","85.87231358","108.469543","100","106.4755851","111.1287337","118.7520449","129.3896084","140.7222315","159.4672939","171.9851492","184.3005115","172.8172656","199.5004509","214.5988445","231.8179279","233.8628075","250.9105201","263.8181992","287.1274329","",
"Caribbean small states","CSS","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","90.58225286","88.41138803","84.18689124","97.67388624","90.94733774","96.38291359","101.9657116","94.96699115","72.70223973","97.89386656","117.9553558","116.3963013","110.8254254","101.827835","79.98342468","65.55143547","",
"Curacao","CUW","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","92.87665059","81.42147455","94.1605612","137.1439532","360.7187508","128.9807815","131.0482043","66.34424142","77.94723591","48.23107594","75.73228793","68.12237955","136.3252256","120.1873279","149.9188433","163.9096817","",
"Cyprus","CYP","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","110.9223301","107.5242718","104.6116505","189.0776699","285.1941748","245.1456311","229.368932","228.8834951","223.7864078","242.7184466","280.8252427","287.3786408","334.9514563","314.3203883","412.8640777","448.0582524","",
"Czech Republic","CZE","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","113.2169576","121.446384","128.6783042","160.0997506","176.0598504","205.2369077","236.4089776","251.1221945","211.2219451","249.3765586","273.5660848","278.3042394","280.798005","300.7481297","315.4613466","325.6857855","",
"Germany","DEU","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","104.090268","106.3469676","109.8730606","120.7334274","128.067701","140.3385049","149.7884344","149.3653032","122.7080395","141.0437236","149.7884344","149.2242595","148.2369535","150.9167842","155.0070522","155.9943583","",
"Djibouti","DJI","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","104.3437883","118.1756505","112.6068957","105.4942973","102.7005696","131.9731015","129.4854957","128.6207586","158.1567435","164.118878","149.0430643","191.5524082","205.8241823","224.4305823","289.0955609","324.0592754","",
