"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"2020",957546988.45,1514878330.95,637935120.01,569687009.69,287371628.33,220492494.544,149299067.38,278800464.23,248903730.08,274882709.41,105492370.72,142367727.37,127196116.27,95378507.72,79818803.7
"2030",970086056.96,1687246392.752,697757601.14,620447234.79,340490312.27,239703710.126,146263319.09,304832555.83,268748194.68,313632007.02,135791218.61,163552131.13,122330550.88,95666002.07,89854971.52
"2040",955518814.47,1853246487.056,740346879.41,661975407.33,386939935.73,253272926.456,141716830.08,322827302.01,284941469.44,356105107.78,172202813.85,182334204.71,116003212.19,94990170.2,98226206.62
"2050",921228788.68,2008324238.988,765092857.64,693055083.41,429920309.52,261099558.9,138533519.91,332701439.82,297565529.94,400381698.38,213541670.61,198119628.06,109618581.92,93393849.16,104821616.2
"2060",871715990.32,2149624170.364,774179241.24,713325242.52,465899284.47,263936751.302,135242656.27,335091288.27,306844328.86,444602392.32,257871149.7,209266531.05,103602933.54,91199825.17,108105460.96
"2070",819252255.87,2276974881.41,768093323.49,724091555.43,490857285.57,263212760.362,131609388.09,330702701.21,313000927.98,487983390.68,303501525.88,215937387.55,97255802.99,89521360.12,108212421.18
