"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Indonesia",0,0,0,0,0,202653331.35,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,12899452.08,0,0,43579.23,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,4719487.86,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,23373108.8,0,0,0,0,0,0
"Japan",253845.768,114093.77412,4419.588,8489.0644,1232.436,16451.4,0,10164.1088,0,390.116,598.2042,4583.082,126759291.084,0,3524.9424
"Afghanistan",0,21618.6096,0,0,30048.486,3830.096,0,64596.6664,0,0,0,3944.274,0,0,30443952
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48561596.7648
"Nigeria",0,109749517.93512,0,0,0,0,0,0,0,0,80038549.8252,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,3129709.7,9870622.9,0,0,0,0
"Ghana",0,20499417.92,0,0,0,0,0,0,0,245870.08,15428347.52,0,0,0,0
"Tunisia",0,0,0,0,11665077.2,0,0,0,0,6427695.6,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,16825021.824,0,0,0,0,0,0,0,0,0,0
"Sudan",0,1398.79672,3246.036,558.76,30190411.96,0,0,564.528,0,2110.638,10581.8892,211.698,0,0,0
"Libya",0,0,0,0,4743133.056,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,676182.0458,485678.212,720.906,5092496.63,6330.3,0,170035.468,0,104999.09,0,415953.546,0,0,63564.3288
"Bahrain",0,0,0,0,865862.7,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,1921891.33284,743606.192,20243.39,23221807.572,354167.264,0,709448.5544,0,54749.42,6915.0974,540252.792,0,0,2644.9416
"Oman",0,184866.571,199846.816,507.342,3416376.08,0,0,175553.872,0,1609.194,0,61817.904,0,0,0
"Kuwait",0,194569.4242,78200.552,1272.402,3202972.518,24515.7,0,64059.232,0,6014.49,0,55320.612,0,0,7771.1256
"Mauritania",0,0,0,0,4257555.3,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2461623.5484,21869.872,1157,4388892.734,8076,0,20274.6016,0,2290922.692,0,14533.08,0,0,1711.3152
"Jordan",6084.012,4664740.201,1763.64,139.23,7057342.98,7765.35,0,7440.08,0,4720.824,0,2835.66,0,0,0
"Algeria",0,3033328.2,0,0,25999956,0,0,0,0,14299975.8,0,0,0,0,0
"Palestine",0,0,0,0,1969373.1,0,0,0,0,0,0,0,0,0,0
"Yemen",0,2722077.9,0,0,16634920.5,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,3440977.072,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,3300199.2,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,4775899.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,4243046.5,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,4598737,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,3298413.6,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,42067444,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,8898395,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,4988043.5,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,3269873.1,0,0,0,0,0
"Somalia",0,0,0,0,4992602.7,0,0,0,0,0,0,0,0,0,0
"Qatar",0,84318.692,34942.796,1890.582,2973509.482,12193.2,0,31600.012,0,5561.194,0,23227.902,0,0,3219.4176
