Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
Bangladesh,Japan,14,223,493,3855,7151,TRUE,Bengali,Japanese,TRUE,TRUE
Bangladesh,Singapore,232,2522,6029,14569,16327,TRUE,Bengali,English,TRUE,TRUE
China,United Arab Emirates,0,6,61,113,195,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Qatar,0,2,11,80,493,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Oman,0,0,2,6,8,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Switzerland,807,706,2114,1505,6600,TRUE,Mandarin,German,TRUE,TRUE
China,Afghanistan,48,32,205,130,23,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Australia,13834,20051,25805,75698,162810,TRUE,Mandarin,English,TRUE,TRUE
China,Canada,35717,62157,90391,137439,336302,TRUE,Mandarin,English,TRUE,TRUE
China,Germany,1023,1528,1930,8527,86998,TRUE,Mandarin,German,TRUE,TRUE
China,United Kingdom,11328,14293,17991,24817,94896,TRUE,Mandarin,English,TRUE,TRUE
China,United States,105384,220531,320005,574049,1016412,TRUE,Mandarin,English,TRUE,TRUE
China,Iraq,25,15,9,5,0,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Jordan,0,0,1,125,9143,TRUE,Mandarin,Arabic,TRUE,TRUE
China,Kuwait,6,10,10,690,651,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Lebanon,0,0,0,48,330,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Malaysia,33563,411602,286332,147224,75458,TRUE,Mandarin,Malay,TRUE,TRUE
China,Russian Federation,0,0,0,0,1493,TRUE,Mandarin,Russian,TRUE,TRUE
China,Saudi Arabia,2,11,55,142,154,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Sudan,79,75,96,240,290,FALSE,Mandarin,Arabic,TRUE,FALSE
China,Turkey,6,11,13,24,1475,TRUE,Mandarin,Turkish,TRUE,TRUE
China,France,12720,1272,8523,18903,21460,TRUE,Mandarin,French,TRUE,TRUE
China,Japan,52509,53719,52376,134823,335495,TRUE,Mandarin,Japanese,TRUE,TRUE
China,Singapore,278798,243677,218970,261396,348383,TRUE,Mandarin,English,TRUE,TRUE
