"","List_Of_Countries","Mandarin_2070","English_2070","Hindi_2070","Spanish_2070","Arabic_2070","Malay_2070","Russian_2070","Bengali_2070","Portuguese_2070","French_2070","Hausa_2070","Punjabi_2070","Japanese_2070","German_2070","Persian_2070"
"84","Libya",0,0,0,0,1.13661581051808,0,0,0,0,0,0,0,0,0,0
"85","United Arab Emirates",0,0.0569723041242967,0.120615331707601,0.000195588839027849,1.58884056664807,0.00458061829242726,0,0.0980796549010007,0,0.0320788871966117,0,0.367442016443315,0,0,0.112016680260955
"86","Bahrain",0,0,0,0,0.24830788399235,0,0,0,0,0,0,0,0,0,0
"87","Saudi Arabia",0,0.159765905215082,0.182201479269142,0.00541877938682558,6.57845815046392,0.252852356075803,0,0.403752626277039,0,0.0211178711917794,0.0042901169645842,0.470864716781575,0,0,0.00459867248052565
"88","Oman",0,0.0153164449207611,0.0488034025825244,0.000135352484178553,0.978108061199265,0,0,0.0995745890811734,0,0.000618619407355538,0,0.0536979414436808,0,0,0
"89","Kuwait",0,0.0156259429001085,0.0185233138864684,0.000348974297394072,0.927587625231734,0.017942234396273,0,0.0368974015511675,0,0.0021810949531824,0,0.0460197811960097,0,0,0
"90","Mauritania",0,0,0,0,2.11445443362935,0,0,0,0,0,0,0,0,0,0
"91","Lebanon",0,0.0965284144114599,0.00555131925141044,0.000312557898676839,0.781393121875845,0.00609377799343491,0,0.0120037723030954,0,0.406329226515819,0,0.0132015041488229,0,0,0.00276978526417807
"92","Jordan",0.00148423662100108,0.329028967372388,0.000451310214211899,3.89285758231074e-05,2.25549101117061,0.00588347309158389,0,0.00447201402070875,0,0.00183877438009349,0,0.00231319633020495,0,0,0
"93","Algeria",0,0.19073701910538,0,0,7.38483490591111,0,0,0,0,4.17221236981171,0,0,0,0,0
"94","Palestine",0,0,0,0,0.918144103618495,0,0,0,0,0,0,0,0,0,0
"95","Yemen",0,0.215936299365999,0,0,5.96071591009078,0,0,0,0,0,0,0,0,0,0
"96","Mali",0,0,0,0,0,0,0,0,0,2.16316517574756,0,0,0,0,0
"97","Guinea",0,0,0,0,0,0,0,0,0,1.79976658167303,0,0,0,0,0
"98","Haiti",0,0,0,0,0,0,0,0,0,1.22104132077612,0,0,0,0,0
"99","Benin",0,0,0,0,0,0,0,0,0,2.35925453638783,0,0,0,0,0
"100","Burkina Faso",0,0,0,0,0,0,0,0,0,2.72008580209648,0,0,0,0,0
"101","Congo-Brazzaville",0,0,0,0,0,0,0,0,0,1.9499687991335,0,0,0,0,0
"102","Congo-Kinshasa",0,0,0,0,0,0,0,0,0,27.0107183930633,0,0,0,0,0
"103","Cote de Ivore",0,0,0,0,0,0,0,0,0,5.05701761969469,0,0,0,0,0
"104","Senegal",0,0,0,0,0,0,0,0,0,2.79608504322767,0,0,0,0,0
"105","Togo",0,0,0,0,0,0,0,0,0,1.60047673422507,0,0,0,0,0
"106","Somalia",0,0,0,0,3.30315187362769,0,0,0,0,0,0,0,0,0,0
"107","Qatar",0,0.00711572600813999,0.00866338345066827,0.000437653594541392,0.876189702985115,0.00917483584663547,0,0.0185204304256593,0,0.00187211900315339,0,0.0205371667440138,0,0,0.00439279501379293
