"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"45","Bangladesh","Germany","-2558","318.23","0.0778670960389893","0.698580003777604",16535.8,19718.1,22900.4,26082.7,29265,32447.3
"46","Bangladesh","United Kingdom","-21589","4305.96","0.00789748753821858","0.930771250710768",236768.6,279828.2,322887.8,365947.4,409007,452066.6
"47","Bangladesh","United States","-16943.2","2073.48","0.0775490393762718","0.699341274418032",107465.6,128200.4,148935.2,169670,190404.8,211139.6
"48","Bangladesh","Jordan","-1346.2","142.77","0.139856464888062","0.570467301256561",7220,8647.7,10075.4,11503.1,12930.8,14358.5
"49","Bangladesh","Kuwait","-5791.2","947.72","0.0614560538268006","0.739834062646646",51072,60549.2,70026.4,79503.6,88980.8,98458
"50","Bangladesh","Lebanon","-2531.2","320.04","0.0451754717785423","0.785691318754187",16671.2,19871.6,23072,26272.4,29472.8,32673.2
"51","Bangladesh","Malaysia","-10999.4","1888.68","0.0215023844380896","0.866874989491324",102321.4,121208.2,140095,158981.8,177868.6,196755.4
"52","Bangladesh","Saudi Arabia","-34329.8000000001","10358.36","0.00980392901533211","0.920215079728461",587171.8,690755.4,794339,897922.6,1001506.2,1105089.8
"53","Bangladesh","France","4372.79999999999","180.91","0.651211076033579","0.0770305347465185",15227.4,17036.5,18845.6,20654.7,22463.8,24272.9
"54","Bangladesh","Japan","-1234","179.06","0.0321311670756202","0.827545769286011",9509.6,11300.2,13090.8,14881.4,16672,18462.6
"55","Bangladesh","Singapore","-911.600000000005","442.37","0.00530602678254647","0.946716327122574",25630.6,30054.3,34478,38901.7,43325.4,47749.1
"56","China","Switzerland","-130.6","123.85","0.103435210922297","0.64136931286077",7300.4,8538.9,9777.4,11015.9,12254.4,13492.9
"57","China","Australia","-11080.2","3535.99","0.04187605169812","0.795765711913396",201079.2,236439.1,271799,307158.9,342518.8,377878.7
"58","China","Canada","-2889.20000000005","6764.52","0.0425239667896937","0.793762942945898",402982,470627.2,538272.4,605917.6,673562.8,741208
"59","China","Germany","-15788.6","1789.49","0.141805302223762","0.566952059087818",91580.8,109475.7,127370.6,145265.5,163160.4,181055.3
"60","China","United Kingdom","-2867","1776.6","0.104749480881309","0.638616755705508",103729,121495,139261,157027,174793,192559
"61","China","United States","12161.3999999999","21755.74","0.0133354411134968","0.902426274273938",1317505.8,1535063.2,1752620.6,1970178,2187735.4,2405292.8
"62","China","Jordan","-1828.4","184.11","0.175212306564322","0.510280286858624",9218.2,11059.3,12900.4,14741.5,16582.6,18423.7
"63","China","Malaysia","226953.4","-1805.88","0.768802169319133","0.033343584409815",118600.6,100541.8,82483,64424.2,46365.4,28306.6
"64","China","Russia","-298.6","29.86","0.181690113816209","0.5",1493,1791.6,2090.2,2388.8,2687.4,2986
"65","China","Turkey","-284.4","29.51","0.175653420972088","0.509573490010409",1486.2,1781.3,2076.4,2371.5,2666.6,2961.7
"66","China","France","5553.4","351.11","0.202450135478037","0.468410201246271",26620,30131.1,33642.2,37153.3,40664.4,44175.5
"67","China","Japan","-3630.80000000006","6470.76","0.0782316356015852","0.697709165059307",384614.8,449322.4,514030,578737.6,643445.2,708152.8
"68","China","Singapore","238867","1568.89","0.383775416223891","0.256611595408528",333000.4,348689.3,364378.2,380067.1,395756,411444.9
"69","Pakistan","United Arab Emirates","-71306.0000000001","14531.45","0.00725265631641462","0.934540798177358",800581,945895.5,1091210,1236524.5,1381839,1527153.5
"70","Pakistan","Qatar","-4004.00000000001","794.13","0.0247040756183927","0.854377077235126",43643.8,51585.1,59526.4,67467.7,75409,83350.3
